Prognose_Differenziert,Untere_KI_Differenziert,Obere_KI_Differenziert,Datum,Absolute_Prognose,Absolute_Untere_KI,Absolute_Obere_KI
0.6968510760778561,-3.7680139400740065,5.161716092229719,2013-09-01,15.856851076077856,11.391986059925994,20.32171609222972
-0.10959869053301674,-5.759304872618149,5.540107491552115,2013-10-01,9.370401309466983,3.720695127381852,15.020107491552116
-0.9385476200324321,-6.624081397155579,4.746986157090714,2013-11-01,4.841452379967568,-0.8440813971555787,10.526986157090715
2.248056919179433,-3.440173609589741,7.936287447948607,2013-12-01,3.248056919179433,-2.440173609589741,8.936287447948608
-0.7480899277559077,-6.436805157605602,4.940625302093786,2014-01-01,-0.6380899277559077,-6.326805157605602,5.050625302093787
-2.221180039998427,-7.909914190849237,3.467554110852383,2014-02-01,-1.9111800399984271,-7.599914190849238,3.777554110852383
5.247761102294419,-0.44101731196862914,10.936539516557467,2014-03-01,4.857761102294419,-0.8310173119686292,10.546539516557466
-3.885905091274025,-9.574699629484316,1.8028894469362662,2014-04-01,5.204094908725975,-0.4846996294843162,10.892889446936266
0.5711403058533906,-5.117660021224712,6.259940632931492,2014-05-01,14.711140305853391,9.022339978775289,20.399940632931493
-1.2974748242657834,-6.986277300517257,4.391327651985691,2014-06-01,16.172525175734215,10.483722699482742,21.86132765198569
